         106992 function calls (103774 primitive calls) in 0.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _scimath_impl.py:1(<module>)
      208    0.000    0.000    0.004    0.000 typing.py:947(__init__)
      224    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
     1872    0.002    0.000    0.003    0.000 typing.py:935(_is_dunder)
      137    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
      460    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     8071    0.003    0.000    0.003    0.000 typing.py:1273(<genexpr>)
      112    0.003    0.000    0.003    0.000 {built-in method io.open_code}
      399    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       77    0.001    0.000    0.003    0.000 typing.py:1247(__hash__)
      149    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      159    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      231    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      269    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      262    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      119    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       15    0.000    0.000    0.002    0.000 typing.py:1239(copy_with)
        6    0.000    0.000    0.002    0.000 getlimits.py:35(__init__)
       41    0.000    0.000    0.002    0.000 typing.py:1083(copy_with)
       14    0.000    0.000    0.002    0.000 typing.py:1043(__ror__)
       27    0.000    0.000    0.002    0.000 typing.py:1323(__class_getitem__)
        1    0.000    0.000    0.002    0.002 _type_check_impl.py:1(<module>)
       73    0.002    0.000    0.002    0.000 sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.002    0.002 printoptions.py:1(<module>)
       13    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
     3341    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       36    0.000    0.000    0.002    0.000 getlimits.py:112(_float_to_str)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
      460    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      2/1    0.000    0.000    0.002    0.002 sysconfig.py:700(get_config_var)
      3/1    0.000    0.000    0.002    0.002 sysconfig.py:611(get_config_vars)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
     1139    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      565    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x5922c5a3b9a0}
        3    0.000    0.000    0.002    0.001 enum.py:536(_convert_)
        1    0.000    0.000    0.002    0.002 _ccallback.py:1(<module>)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      399    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       22    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.001    0.001 __init__.py:432(_sanity_check)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:509(_init_posix)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:2267(__new__)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
       18    0.000    0.000    0.001    0.000 arrayprint.py:1685(_array_str_implementation)
      399    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
       18    0.000    0.000    0.001    0.000 arrayprint.py:550(wrapper)
        8    0.000    0.000    0.001    0.000 typing.py:2247(_make_nmtuple)
     2640    0.001    0.000    0.001    0.000 typing.py:1022(<genexpr>)
     1431    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       45    0.000    0.000    0.001    0.000 enum.py:359(__call__)
     2312    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       18    0.001    0.000    0.001    0.000 arrayprint.py:1678(_guarded_repr_or_str)
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        3    0.000    0.000    0.001    0.000 enum.py:483(_create_)
        6    0.000    0.000    0.001    0.000 enum.py:180(__new__)
      119    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
      112    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     1293    0.000    0.000    0.001    0.000 sre_parse.py:255(get)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
        7    0.000    0.000    0.001    0.000 __init__.py:76(CFUNCTYPE)
      112    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       50    0.001    0.000    0.001    0.000 typing.py:284(_flatten_literal_params)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
  527/435    0.001    0.000    0.001    0.000 typing.py:1037(__hash__)
3806/3600    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      311    0.000    0.000    0.001    0.000 function_base.py:473(_add_docstring)
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     1614    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1517    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
1284/1192    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1350    0.000    0.000    0.001    0.000 sre_parse.py:165(__getitem__)
