If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
         5220300 function calls (5110457 primitive calls) in 8.625 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40166    0.018    0.000    0.018    0.000 _parser.py:240(__next)
2215/1606    0.017    0.000    0.129    0.000 inspect.py:2435(_signature_from_callable)
      142    0.017    0.000    0.017    0.000 terminal256.py:188(_closest_color)
     5652    0.017    0.000    0.030    0.000 _docscrape.py:475(_str_param_list)
    36520    0.017    0.000    0.023    0.000 _parser.py:168(__getitem__)
     2239    0.016    0.000    0.100    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     3604    0.016    0.000    0.018    0.000 <frozen importlib._bootstrap>:100(acquire)
      241    0.016    0.000   23.080    0.096 __init__.py:1(<module>)
6202/1729    0.015    0.000    0.019    0.000 _parser.py:178(getwidth)
    11865    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
10151/8445    0.015    0.000    0.064    0.000 core.py:2440(decompose)
     2298    0.015    0.000    0.778    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
     2032    0.015    0.000    1.379    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
    31819    0.015    0.000    0.028    0.000 _parser.py:261(get)
 1442/794    0.014    0.000    0.101    0.000 copy.py:227(_deepcopy_dict)
      437    0.014    0.000    0.063    0.000 doccer.py:29(docformat)
     4063    0.014    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    17954    0.014    0.000    0.014    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       92    0.013    0.000    0.020    0.000 graph.py:56(frame_comps_from_set)
     2243    0.013    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     2528    0.013    0.000    0.022    0.000 functools.py:35(update_wrapper)
     2032    0.013    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
     3604    0.013    0.000    0.015    0.000 <frozen importlib._bootstrap>:125(release)
 2152/604    0.013    0.000    0.180    0.000 _parser.py:456(_parse_sub)
     8997    0.012    0.000    0.277    0.000 inspect.py:844(getdoc)
5343/5312    0.012    0.000    0.125    0.000 core.py:2318(__init__)
    12146    0.012    0.000    0.020    0.000 enum.py:688(__call__)
     9988    0.012    0.000    0.012    0.000 {method 'splitlines' of 'str' objects}
     3978    0.012    0.000    0.071    0.000 core.py:119(_physical_type_id)
     2032    0.012    0.000    0.446    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
    42550    0.011    0.000    0.011    0.000 {method 'endswith' of 'str' objects}
      474    0.011    0.000    0.786    0.002 _array_api.py:840(decorator)
    10040    0.011    0.000    0.138    0.000 _docscrape.py:77(read_to_next_empty_line)
        1    0.011    0.011    0.023    0.023 agl.py:5070(_builddicts)
    10565    0.011    0.000    0.016    0.000 core.py:2397(add_unit)
     3591    0.011    0.000    0.269    0.000 _docscrape.py:212(_read_sections)
